"CAS","LogBCF","BalabanJ","BertzCT","Chi0","Chi0n","Chi0v","Chi1","Chi1n","Chi1v","Chi2n","Chi2v","Chi3n","Chi3v","Chi4n","Chi4v","EState_VSA1","EState_VSA10","EState_VSA11","EState_VSA2","EState_VSA3","EState_VSA4","EState_VSA5","EState_VSA6","EState_VSA7","EState_VSA8","EState_VSA9","ExactMolWt","FpDensityMorgan1","FpDensityMorgan2","FpDensityMorgan3","FractionCSP3","HallKierAlpha","HeavyAtomCount","HeavyAtomMolWt","Ipc","Kappa1","Kappa2","Kappa3","LabuteASA","MaxAbsEStateIndex","MaxAbsPartialCharge","MaxEStateIndex","MaxPartialCharge","MinAbsEStateIndex","MinAbsPartialCharge","MinEStateIndex","MinPartialCharge","MolLogP","MolMR","MolWt","NHOHCount","NOCount","NumAliphaticCarbocycles","NumAliphaticHeterocycles","NumAliphaticRings","NumAromaticCarbocycles","NumAromaticHeterocycles","NumAromaticRings","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRadicalElectrons","NumRotatableBonds","NumSaturatedCarbocycles","NumSaturatedHeterocycles","NumSaturatedRings","NumValenceElectrons","PEOE_VSA1","PEOE_VSA10","PEOE_VSA11","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","PEOE_VSA2","PEOE_VSA3","PEOE_VSA4","PEOE_VSA5","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","RingCount","SMR_VSA1","SMR_VSA10","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","SMR_VSA8","SMR_VSA9","SlogP_VSA1","SlogP_VSA10","SlogP_VSA11","SlogP_VSA12","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","TPSA","VSA_EState1","VSA_EState10","VSA_EState2","VSA_EState3","VSA_EState4","VSA_EState5","VSA_EState6","VSA_EState7","VSA_EState8","VSA_EState9","qed"
"50_29_3",4.29,2.47411681263025,494.044161421959,14.0436055954405,9.58597478775277,13.365619517845,8.87602866335163,5.45367099639934,7.34349336144548,4.07772769867057,7.31953864460824,2.73400368907273,3.89260999045967,1.88087539128044,2.88878065263839,3.79253593552977,0,0,5.91790604616139,10.0452666274827,11.126902983394,0,24.2654682738464,24.2654682738464,0,58.0046994511626,351.914688688,0.631578947368421,0.947368421052632,1.21052631578947,0.142857142857143,-0.11,19,345.419,15386.057077454,15.282101252717,6.11469157368857,3.9329189571628,136.734712688763,6.11270534139582,0.200859013336985,6.11270534139582,0.200859013336985,0.382376543209877,0.0843441266420066,-1.45668745275888,-0.0843441266420066,6.4955,85.037,354.491,0,0,0,0,0,2,0,2,0,0,5,0,2,0,0,0,100,0,0,0,3.79253593552977,0,0,0,0,0,0,82.270167725009,35.3923712572404,10.0452666274827,5.91790604616139,2,0,58.0046994511626,0,0,0,9.71044198169117,0,69.7031061585695,0,0,0,0,0,58.0046994511626,3.79253593552977,0,0,17.0448090295554,48.5309365476929,10.0452666274827,0,0,0,0,30.1001254164217,0,0,0,0,0,0,-1.45668745275888,17.1621175918927,0.540334122043343
"50_30_6",0.26,3.31891317348667,276.242089776386,8.43072142031815,5.34344163955115,6.85529953158806,5.12589765768623,2.79971235184743,3.55564129786588,1.90181124880711,2.71621150228832,1.17662775665667,1.80656854500538,0.70213065055483,1.26124243247453,5.96930528795185,4.79453718407182,0,15.6087181191796,0,0,12.1327341369232,6.06636706846161,0,0,28.3084071753057,189.958834728,1.27272727272727,1.72727272727273,2,0,-0.73,11,186.981,255.67666789987,8.36737098344693,3.11345653379194,1.64272127110918,73.3586335398967,10.4737037037037,0.477562184171866,10.4737037037037,0.338241505660445,0.0455246913580241,0.338241505660445,-1.11055555555556,-0.477562184171866,2.6916,43.4213,191.013,1,2,0,0,0,1,0,1,1,1,4,0,1,0,0,0,58,5.10652739484071,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,29.2682468489266,12.1327341369232,0,15.6087181191796,1,9.90106457891253,29.1711850684169,0,0,0,0,0,33.8078193245645,0,0,0,0,0,23.201879780465,11.0758326827926,0,0,10.3579886757688,18.1991012053848,10.0452666274827,0,0,37.3,0,11.1184567901235,0,0,0,0,0,0,0,22.7704320987654,0.740184271459347
"50_31_7",0.54,3.42893088100618,335.668527698271,9.30096490832122,5.64405584337075,7.91184268142612,5.53658126020919,2.90536125501871,4.03925467404639,2.02334339558185,3.21570812207229,1.25785653401086,2.37711167144416,0.72311790675209,1.4129155365052,5.96930528795185,4.79453718407182,0,20.631351432921,0,0,12.1327341369232,0,0,0,39.9093470655383,223.919862376,1.16666666666667,1.66666666666667,2.08333333333333,0,-0.44,12,222.434,403.79354668027,9.64650519031142,3.51932227123154,1.65714000211964,83.6618997667784,10.5672839506173,0.477561532624863,10.5672839506173,0.338297781716681,0.0308641975308637,0.338297781716681,-1.1875,-0.477561532624863,3.345,48.4313,225.458,1,2,0,0,0,1,0,1,1,1,5,0,1,0,0,0,64,5.10652739484071,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,34.8028196706975,12.1327341369232,0,20.631351432921,1,9.90106457891253,40.7721249586494,0,0,0,0,0,32.7640855698442,0,0,0,0,0,34.8028196706975,11.0758326827926,0,0,10.3579886757688,12.1327341369232,15.067899941224,0,0,37.3,0,16.7447839506173,0,0,0,0,0,0,0,20.9218827160494,0.744344417140505
"51_28_5",0.57,3.26705221236169,375.287402549959,10.0080716895078,6.2066847559242,6.2066847559242,6.01974450780358,3.13915100830274,3.13915100830274,2.18723684930662,2.18723684930662,1.36651210902849,1.36651210902849,0.771622775693488,0.771622775693488,26.9709064802864,20.2286365375311,0,0,6.06636706846161,12.1327341369232,0,0,0,0,5.10652739484071,184.012021228,1.15384615384615,1.76923076923077,2.23076923076923,0,-2.18,13,180.075,675.815708069665,8.91242144177449,3.05235962095701,1.6954530023795,71.5315883166926,10.219537037037,0.502086632291487,10.219537037037,0.31706272126634,0.426388888888888,0.31706272126634,-0.886574074074074,-0.502086632291487,1.2086,41.4156,184.107,1,7,0,0,0,1,0,1,5,1,7,0,2,0,0,0,68,5.10652739484071,0,5.74951183328391,0,5.68738627468356,5.68738627468356,20.2286365375311,0,0,0,0,6.06636706846161,6.06636706846161,15.912989166097,1,14.953149492476,11.3747725493671,0,0,0,0,0,38.427737742916,0,5.74951183328391,0,11.3747725493671,5.74951183328391,0,14.953149492476,0,20.2286365375311,0,18.1991012053848,0,0,0,106.51,0,0,0,0,0,0,0,0,0,49,0.548520190750079
"55_38_9",2.52,2.90501364903732,401.050657305132,12.1817982758747,9.72050585538815,12.2479262082435,7.5421538606456,4.60132377690826,8.38210724999062,3.0350765050158,7.03209010778218,2.03073771527108,5.37550864799386,1.18587775354544,2.69900560541473,6.71860723236318,0,0,0,5.74951183328391,5.563451491697,19.1150785580728,11.7618849493911,31.3786075885869,0,25.3780975737741,278.02002297,1.25,1.875,2.3125,0.4,-0.0600000000000001,16,263.215,3297.62770656198,14.0027352572146,6.03118844881499,3.46889682554308,105.734845394182,5.55283446712018,0.424129972336642,5.55283446712018,0.379519592684146,0.682716049382716,0.379519592684146,-2.61993146101033,-0.424129972336642,3.61302,71.891,278.335,0,3,0,0,0,1,0,1,5,0,6,0,5,0,0,0,90,13.5712414851355,5.74951183328391,0,0,0,6.71860723236318,0,0,0,11.7618849493911,0,36.9420590802839,30.9219346467115,0,1,13.5712414851355,30.2873482703929,0,0,0,11.8192206752084,20.4753642660665,23.7625526970818,0,5.74951183328391,4.52374716171182,0,5.74951183328391,18.4804921817543,20.4753642660665,20.8543504120623,6.92373719969062,5.563451491697,23.0945846809026,0,0,0,27.69,0,6.82865478290081,0,0,0,0,0,0,15.6800462962963,13.2968544763584,0.605654615688309
"56_23_5",0.87,3.02371578407382,19.1194154787637,4.5,2.01185789203691,5.03557367611073,2,0.755928946018454,2.26778683805536,0.428571428571428,3.85714285714286,0,0,0,0,3.2517177575741,0,0,0,0,0,0,0,0,0,46.4037595609301,151.87541072,0.8,0.8,0.8,1,1.16,5,153.823,3.60964047443681,6.16,1.74184825692082,38.2919857312723,49.9523159353562,4.82638888888889,0.265685211287535,4.82638888888889,0.265685211287535,1.61111111111111,0.0664213028218838,-1.61111111111111,-0.0664213028218838,2.5529,26.143,153.823,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,32,0,0,0,0,3.2517177575741,0,0,0,0,0,46.4037595609301,0,0,0,0,0,46.4037595609301,0,0,0,3.2517177575741,0,0,0,0,0,0,0,46.4037595609301,3.2517177575741,0,0,0,0,0,0,0,0,0,19.3055555555556,0,0,0,0,0,0,-1.61111111111111,0,0.469795536352755
"56_38_2",1.99,2.80929882396788,440.086190474975,13.5960118382478,10.0675315729147,11.7784553448423,8.50414905818482,5.33610709460088,7.89214569629166,3.125060782582,6.06010072541117,1.83917862877018,4.27851957850971,1.1640120058549,3.24698182789555,11.6419182811808,10.1143182687656,0,5.68738627468356,18.9632757623097,0,24.2654682738464,13.8474743993812,0,0,25.3780975737741,291.033030178,1.22222222222222,1.72222222222222,2.11111111111111,0.4,-1.01,18,277.153,8015.47343713742,15.048858151854,6.79788458624047,4.34334675292433,110.264711091317,10.5041741511738,0.424120729587646,10.5041741511738,0.380044537389451,0.010674550684471,0.380044537389451,-2.81659478143109,-0.424120729587646,3.2711,71.2614,291.265,0,6,0,0,0,1,0,1,6,0,8,0,7,0,0,0,100,4.52374716171182,5.74951183328391,0,0,5.68738627468356,6.71860723236318,19.1618125921892,0,0,0,0,25.9802085363045,23.9395902255619,18.1370749778435,1,18.4945525339531,24.2128495956854,0,0,0,13.8474743993812,13.2137639290258,34.379786542612,0,5.74951183328391,4.52374716171182,5.68738627468356,5.74951183328391,6.71860723236318,18.1370749778435,20.8543504120623,10.1143182687656,13.8474743993812,24.2654682738464,0,0,0,70.83,0,5.1771460590409,0,0,0,0,0,0,16.0746193940539,28.0537901024607,0.435980904886701
"57_15_8",0.23,4.0203915431768,66.2646625064904,7,4.58110701452764,6.848893852583,3.25,2.04055350726382,3.1744469262915,2.05677606341758,4.33800848721714,0.693719847723118,2.08115954316935,0,0,9.39358674651346,0,0,0,0,0,13.8474743993812,0,0,0,39.9093470655383,175.956247884,1.125,1.25,1.25,1,0.83,8,170.402,21.3060588338717,8.83,2.21896195770703,2.40243019427935,63.5381098038604,8.95833333333333,0.386005250773608,8.95833333333333,0.217709180387514,1.2662037037037,0.217709180387514,-1.59027777777778,-0.386005250773608,2.1275,36.5878,177.458,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,50,5.10652739484071,5.60105081098369,0,3.79253593552977,0,0,0,0,0,0,34.8028196706975,13.8474743993812,0,0,0,5.10652739484071,34.8028196706975,0,0,0,23.2410611458947,0,0,0,0,0,0,0,34.8028196706975,14.5001141413542,0,0,13.8474743993812,0,0,0,0,20.23,0,15.8703703703704,0,0,0,0,0,0,-1.59027777777778,10.5532407407407,0.562180828561745
"57_74_9|5103_71_9",4.35333333333333,2.26438423482846,458.794032590504,13.6712083963243,8.54022364201887,14.5876552101665,8.11393152939881,5.21417604961702,8.35483444861635,4.95428907873142,9.29447591462998,4.31690046592142,9.79196142678174,3.483641590367,7.46047766432057,19.4587865645734,0,0,27.2774726647557,6.42082162292601,0,0,0,0,0,92.8075191218601,405.797771632,0.888888888888889,1.38888888888889,1.94444444444444,0.8,2.06,18,403.734,10895.2196903662,14.9749611748721,4.0746837784715,1.2808607895599,144.74276337968,6.61891203703704,0.166392137081358,6.61891203703704,0.166392137081358,0.183796296296297,0.12137493978578,-1.50319444444444,-0.12137493978578,5.6828,81.216,409.782,0,0,3,0,3,0,0,0,0,0,8,0,0,2,0,2,102,0,9.74834458288222,4.33335411348544,0,0,0,0,0,0,46.4037595609301,46.4037595609301,12.3387276690874,5.91790604616139,20.8187484406386,3,0,92.8075191218601,0,0,11.8358120923228,31.2566960557051,0,10.0645727042272,0,0,0,0,0,92.8075191218601,24.8358744327791,0,11.8358120923228,6.42082162292601,10.0645727042272,0,0,0,0,0,51.0059336419753,0,0,0,0,0,0,-1.50319444444444,-2.69718364197531,0.451292437701062
"58_89_9|319_84_6|319_85_7|319_86_8|608_73_1",3.04,2.76025207562521,103.587975038942,9.46410161513776,5.73188845319312,10.2674621293038,5.46410161513775,3.30930734141596,5.92792202424786,2.66655843041616,5.69027421448998,1.82525251332492,5.85670992092715,1.05381002990719,3.38137304941284,32.2625272092344,0,0,0,0,0,0,0,0,0,69.6056393413951,287.860066272,0.333333333333333,0.416666666666667,0.5,1,1.74,12,284.784,416.314364797151,11.8127802037846,4.50620894321211,2.04389967452905,101.377727807573,5.88117283950617,0.1196637872635,5.88117283950617,0.069266908505919,0.436728395061728,0.069266908505919,-0.436728395061729,-0.1196637872635,3.6444,57.846,290.832,0,0,1,0,1,0,0,0,0,0,6,0,0,1,0,1,72,0,0,0,0,0,0,0,0,0,69.6056393413951,0,0,0,32.2625272092344,1,0,69.6056393413951,0,0,0,32.2625272092344,0,0,0,0,0,0,0,69.6056393413951,32.2625272092344,0,0,0,0,0,0,0,0,0,35.287037037037,0,0,0,0,0,0,0,-2.62037037037037,0.597603942176168
